agent_0_x,agent_0_y,agent_0_z,agent_1_x,agent_1_y,agent_1_z,agent_2_x,agent_2_y,agent_2_z,agent_3_x,agent_3_y,agent_3_z,agent_4_x,agent_4_y,agent_4_z,agent_5_x,agent_5_y,agent_5_z,agent_6_x,agent_6_y,agent_6_z,agent_7_x,agent_7_y,agent_7_z,agent_8_x,agent_8_y,agent_8_z,agent_9_x,agent_9_y,agent_9_z,agent_10_x,agent_10_y,agent_10_z,agent_11_x,agent_11_y,agent_11_z,agent_12_x,agent_12_y,agent_12_z,agent_13_x,agent_13_y,agent_13_z,agent_14_x,agent_14_y,agent_14_z,agent_15_x,agent_15_y,agent_15_z,agent_16_x,agent_16_y,agent_16_z,agent_17_x,agent_17_y,agent_17_z,agent_18_x,agent_18_y,agent_18_z,agent_19_x,agent_19_y,agent_19_z,agent_20_x,agent_20_y,agent_20_z,agent_21_x,agent_21_y,agent_21_z,agent_22_x,agent_22_y,agent_22_z,agent_23_x,agent_23_y,agent_23_z,agent_24_x,agent_24_y,agent_24_z,agent_25_x,agent_25_y,agent_25_z,agent_26_x,agent_26_y,agent_26_z,agent_27_x,agent_27_y,agent_27_z
-1.2771646976470947,-1.7460923194885254,-2.5390625,-0.9356127977371216,-1.7369656562805176,-4.107187271118164,-0.002322698011994362,-1.7335847616195679,-4.2674994468688965,-1.2771646976470947,-1.7460923194885254,-2.5390625,-1.2771646976470947,-1.7460923194885254,-2.5390625,-1.9939067363739014,-1.7176859378814697,-5.425780296325684,1.9553523063659668,-1.832837462425232,-3.9449217319488525,-0.3867490887641907,-1.7332655191421509,-4.098437786102295,2.237841844558716,-1.1751513481140137,-4.514843940734863,0.320192813873291,-1.6030542850494385,-6.753904342651367,-2.6521799564361572,-1.73516845703125,-5.272656440734863,-2.05525279045105,-1.7535353899002075,-4.0859375,-1.2771646976470947,-1.7460923194885254,-2.5390625,2.214219808578491,-1.5259802341461182,-4.467187404632568,1.9814907312393188,-1.8073304891586304,-3.9976558685302734,-2.506779432296753,-1.7439440488815308,-4.983593463897705,1.9553523063659668,-1.832837462425232,-3.9449217319488525,-2.8958237171173096,-1.2344127893447876,-5.757031440734863,-3.0184311866760254,-1.0990113019943237,-6.000781059265137,-0.6452491879463196,-1.6498568058013916,-6.548439025878906,,,,,,,,,,,,,,,,,,,,,,,,
-1.2693241834640503,-1.7353671789169312,-2.5234375,-0.9234703779220581,-1.7143990993499756,-4.053750038146973,-0.002315041609108448,-1.7042932510375977,-4.195312023162842,-1.2693241834640503,-1.7353671789169312,-2.5234375,-1.2693241834640503,-1.7353671789169312,-2.5234375,-1.945713996887207,-1.6761775016784668,-5.294530868530273,1.863936185836792,-1.7472057342529297,-3.7605466842651367,-0.3813239336013794,-1.7088477611541748,-4.040624618530273,2.1410000324249268,-1.124348759651184,-4.319530963897705,0.36745789647102356,-1.6541032791137695,-6.848437786102295,-2.594451427459717,-1.6974159479141235,-5.157812595367432,-2.0258100032806396,-1.7284210920333862,-4.02734375,-1.2693241834640503,-1.7353671789169312,-2.5234375,2.121638774871826,-1.4622316360473633,-4.280468940734863,1.863936185836792,-1.7472057342529297,-3.7605466842651367,-2.4683046340942383,-1.7069604396820068,-4.9070305824279785,1.8939465284347534,-1.7275371551513672,-3.8210935592651367,-2.806267261505127,-1.1846327781677246,-5.578906059265137,-2.8876142501831055,-1.0514110326766968,-5.740624904632568,-0.7223715782165527,-1.716949224472046,-6.75859260559082,,,,,,,,,,,,,,,,,,,,,,,,
-1.2898881435394287,-1.7635806798934937,-2.564453125,-0.9358600974082947,-1.7376083135604858,-4.108593463897705,-0.00225426210090518,-1.736617922782898,-4.274843215942383,-1.2898881435394287,-1.7635806798934937,-2.564453125,-1.2898881435394287,-1.7635806798934937,-2.564453125,-1.9757213592529297,-1.7021697759628296,-5.376562118530273,1.9406964778900146,-1.7701126337051392,-3.915234088897705,-0.38756263256073,-1.7372777462005615,-4.107812404632568,2.2638556957244873,-1.1888320446014404,-4.567187309265137,0.3158675730228424,-1.5809221267700195,-6.660311222076416,-2.6383273601531982,-1.726232647895813,-5.245312690734863,-2.051246404647827,-1.750230073928833,-4.078125,-1.2898881435394287,-1.7635806798934937,-2.564453125,2.223968982696533,-1.5327057838439941,-4.486718654632568,1.9031338691711426,-1.7838808298110962,-3.8394532203674316,-2.490574598312378,-1.7327945232391357,-4.951562404632568,1.9031338691711426,-1.7838808298110962,-3.8394532203674316,-2.8630998134613037,-1.208712100982666,-5.692187309265137,-2.951908588409424,-1.0749043226242065,-5.868750095367432,-0.6789869070053101,-1.7005242109298706,-6.749214172363281,,,,,,,,,,,,,,,,,,,,,,,,
-1.286009430885315,-1.7582533359527588,-2.556640625,-0.9286327958106995,-1.7241222858428955,-4.076562404632568,-0.011159159243106842,-1.7259525060653687,-4.24843692779541,-1.286009430885315,-1.7582533359527588,-2.556640625,-1.286009430885315,-1.7582533359527588,-2.556640625,-1.9580204486846924,-1.675799012184143,-5.328125,1.9501490592956543,-1.7870290279388428,-3.9343748092651367,-0.3812122642993927,-1.7254379987716675,-4.039843559265137,2.25297212600708,-1.173720359802246,-4.545312404632568,0.31185606122016907,-1.5751004219055176,-6.5776543617248535,-2.584594249725342,-1.7017922401428223,-5.138281345367432,-2.0191032886505127,-1.7311644554138184,-4.01406192779541,-1.286009430885315,-1.7582533359527588,-2.556640625,2.216183662414551,-1.527430534362793,-4.471093654632568,1.9214930534362793,-1.7930995225906372,-3.8765621185302734,-2.4549126625061035,-1.7079839706420898,-4.880468845367432,1.9214930534362793,-1.7930995225906372,-3.8765621185302734,-2.800337076187134,-1.1822385787963867,-5.567187309265137,,,,-0.7265669703483582,-1.7271884679794312,-6.798436164855957,,,,,,,,,,,,,,,,,,,,,,,,
-1.2664235830307007,-1.7313833236694336,-2.517578125,-0.9248586297035217,-1.716913104057312,-4.059530735015869,-0.01112968660891056,-1.7215379476547241,-4.194530963897705,-1.2664235830307007,-1.7313833236694336,-2.517578125,-1.2664235830307007,-1.7313833236694336,-2.517578125,-1.9392058849334717,-1.670576572418213,-5.276561737060547,1.8681399822235107,-1.7434052228927612,-3.7691404819488525,-0.3664494454860687,-1.7204331159591675,-3.9699997901916504,2.207150459289551,-1.1684802770614624,-4.453125,0.31259721517562866,-1.5659806728363037,-6.597030162811279,-2.567038059234619,-1.6901434659957886,-5.10312557220459,-2.0140950679779053,-1.7184312343597412,-4.00390625,-1.2664235830307007,-1.7313833236694336,-2.517578125,2.151778221130371,-1.4831209182739258,-4.341406345367432,1.8681399822235107,-1.7434052228927612,-3.7691404819488525,-2.4377427101135254,-1.6959482431411743,-4.846093654632568,1.8882750272750854,-1.7224812507629395,-3.809765338897705,,,,,,,-0.7381277084350586,-1.720672845840454,-6.772810935974121,,,,,,,,,,,,,,,,,,,,,,,,
-1.2762442827224731,-1.7447304725646973,-2.537109375,-0.9278337955474854,-1.7223198413848877,-4.072656154632568,-0.011117834597826004,-1.7229915857315063,-4.198436737060547,-1.2762442827224731,-1.7447304725646973,-2.537109375,-1.2762442827224731,-1.7447304725646973,-2.537109375,-1.9638843536376953,-1.6805142164230347,-5.34375,1.8126065731048584,-1.6914211511611938,-3.6570310592651367,-0.35856252908706665,-1.7222564220428467,-3.9745309352874756,2.1947991847991943,-1.143293857574463,-4.428125381469727,0.31609973311424255,-1.5830934047698975,-6.670154571533203,-2.586678981781006,-1.7028948068618774,-5.142187595367432,-2.0258781909942627,-1.7283475399017334,-4.02734375,-1.2762442827224731,-1.7447304725646973,-2.537109375,2.145620822906494,-1.4786949157714844,-4.328906059265137,1.836227297782898,-1.6748427152633667,-3.7046873569488525,-2.4554193019866943,-1.7080763578414917,-4.881249904632568,1.8126065731048584,-1.6914211511611938,-3.6570310592651367,,,,,,,-0.7536929845809937,-1.7379472255706787,-6.786093235015869,,,,,,,,,,,,,,,,,,,,,,,,
-1.2731959819793701,-1.7407751083374023,-2.53125,-0.9194939732551575,-1.707248330116272,-4.036718845367432,-0.01079048216342926,-1.7041620016098022,-4.131249904632568,-1.2731959819793701,-1.7407751083374023,-2.53125,-1.2731959819793701,-1.7407751083374023,-2.53125,-1.971642017364502,-1.6668592691421509,-5.335155963897705,1.8162107467651367,-1.694786548614502,-3.664062261581421,-0.3546612560749054,-1.7043348550796509,-3.9328904151916504,2.1860363483428955,-1.1571869850158691,-4.41015625,0.31015849113464355,-1.566012978553772,-6.539841651916504,-2.5558228492736816,-1.69347083568573,-5.081249237060547,-2.0198233127593994,-1.7234439849853516,-4.015625,-1.2731959819793701,-1.7407751083374023,-2.53125,2.142277240753174,-1.4764306545257568,-4.321875095367432,1.8349924087524414,-1.6737216711044312,-3.7019529342651367,-2.4434359073638916,-1.7000291347503662,-4.857812404632568,1.8162107467651367,-1.694786548614502,-3.664062261581421,,,,,,,-0.7429812550544739,-1.7140341997146606,-6.691874980926514,,,,,,,,,,,,,,,,,,,,,,,,
-1.2604255676269531,-1.7232658863067627,-2.505859375,-0.926803469657898,-1.7207293510437012,-4.068749904632568,-0.010947193019092083,-1.7250419855117798,-4.182031154632568,-1.2604255676269531,-1.7232658863067627,-2.505859375,-1.2604255676269531,-1.7232658863067627,-2.505859375,-2.0000035762786865,-1.6907473802566528,-5.411874771118164,1.8254634141921997,-1.7033979892730713,-3.682812213897705,-0.35467302799224854,-1.7206356525421143,-3.932812213897705,2.275053024291992,-1.2042694091796875,-4.58984375,0.31893444061279297,-1.61044180393219,-6.7257795333862305,-2.5998363494873047,-1.7117778062820435,-5.168749809265137,-2.021789312362671,-1.7250546216964722,-4.01953125,-1.2604255676269531,-1.7232658863067627,-2.505859375,2.2053489685058594,-1.5198652744293213,-4.44921875,1.85160231590271,-1.6888477802276611,-3.735546588897705,-2.465050458908081,-1.7149909734725952,-4.900781154632568,1.8192676305770874,-1.7052687406539917,-3.6703124046325684,,,,,,,-0.7488930821418762,-1.7556294202804565,-6.744843006134033,,,,,,,,,,,,,,,,,,,,,,,,
-1.2624282836914062,-1.7259159088134766,-2.509765625,-0.9169343113899231,-1.7022346258163452,-4.025156021118164,-0.010802842676639557,-1.7009893655776978,-4.103125095367432,-1.2624282836914062,-1.7259159088134766,-2.509765625,-1.2624282836914062,-1.7259159088134766,-2.509765625,-1.969191312789917,-1.6645543575286865,-5.328280925750732,1.7859101295471191,-1.6664884090423584,-3.6031248569488525,-0.34254738688468933,-1.7007890939712524,-3.887577772140503,2.210702896118164,-1.1608788967132568,-4.460155963897705,0.3136179447174072,-1.5702142715454102,-6.615778923034668,-2.5712273120880127,-1.6821590662002563,-5.11171817779541,-2.0041663646698,-1.709909200668335,-3.984375,-1.2624282836914062,-1.7259159088134766,-2.509765625,2.177401065826416,-1.500586986541748,-4.392968654632568,1.8103058338165283,-1.651179313659668,-3.65234375,-2.4336867332458496,-1.6930497884750366,-4.838281154632568,1.7859101295471191,-1.6664884090423584,-3.6031248569488525,-2.7720367908477783,-1.1701109409332275,-5.510936737060547,,,,-0.7493250370025635,-1.7140990495681763,-6.747811317443848,-1.9760688543319702,-1.710508942604065,-3.928515911102295,,,,,,,,,,,,,,,,,,,,,
-1.2919375896453857,-1.7662042379379272,-2.568359375,-0.9447080492973328,-1.7536886930465698,-4.146874904632568,-0.011135531589388847,-1.756394624710083,-4.215624809265137,-1.2919375896453857,-1.7662042379379272,-2.568359375,-1.2919375896453857,-1.7662042379379272,-2.568359375,-2.0350334644317627,-1.720117211341858,-5.50624942779541,1.7649879455566406,-1.646959662437439,-3.5609371662139893,-0.3500199615955353,-1.7542457580566406,-3.9719526767730713,2.321049213409424,-1.238326072692871,-4.682812690734863,0.3234437108039856,-1.648093342781067,-6.824216842651367,-2.654219388961792,-1.7363739013671875,-5.276562213897705,-2.066707134246826,-1.7546319961547852,-4.108593463897705,-1.2919375896453857,-1.7662042379379272,-2.568359375,2.275355339050293,-1.5680766105651855,-4.590624809265137,1.7884156703948975,-1.6312065124511719,-3.6082029342651367,-2.494274854660034,-1.7454595565795898,-4.958593845367432,1.7649879455566406,-1.646959662437439,-3.5609371662139893,-2.8361716270446777,-1.1735970973968506,-5.638281345367432,,,,-0.7672432065010071,-1.7790995836257935,-6.78125,-2.0183699131011963,-1.7554221153259277,-4.012499809265137,,,,,,,,,,,,,,,,,,,,,
